"proposed_use","status_date","permit_number","proposed_occupancy","data_loaded_at","description","primary_address_flag","revised_cost","street_name","supervisor_district","street_suffix","lot","filed_date","issued_date","plansets","block","application_submission_method","point_source","data_as_of","neighborhoods_analysis_boundaries","existing_occupancy","permit_type_definition","last_permit_activity_date","permit_type","permit_creation_date","zipcode","record_id","adu","estimated_cost","street_number","existing_use","location","status"
"1 family dwelling","2023-08-31T12:15:49.000","202308315723","R-3,B","2023-09-02T04:14:29.000","interior remodeling residentail unit to create new bathroom, new kitchen cabinets. all appliance, new electrical, new hvac. new duct system, new plumbing.","Y","","Hyde","2","St","039","2023-08-31T12:15:49.000","","2","0026","in-house","parcel_centroid","2023-09-01T23:55:00.000","Russian Hill","R-3,B","additions alterations or repairs","2023-08-31T12:16:45.000","3","2023-08-31T00:00:00.000","94109","1677343520491","N","85000","2601","1 family dwelling","{""coordinates"":[-122.420441398,37.804890677],""type"":""Point""}","filed"
"apartments","2023-08-31T10:33:45.000","202308315676","R-2","2023-09-02T04:14:29.000","reroofing","Y","10000","Franklin","2","St","020","2023-08-31T09:42:11.000","2023-08-31T10:33:45.000","0","0624","in-house","parcel_centroid","2023-09-01T23:55:00.000","Pacific Heights","R-2","otc alterations permit","2023-08-31T10:27:16.000","8","2023-08-31T00:00:00.000","94109","167729476616","N","10000","1835","apartments","{""coordinates"":[-122.424607633,37.791564419],""type"":""Point""}","issued"
"food/beverage hndlng","2023-08-31T14:24:26.000","202308315709","B","2023-09-02T04:14:29.000","improvements to comply with abe program, abe# 202304056651, replace door hardware, add kickplate, a power door operator with push bar at exterior, add electrical outlet near door.","Y","3000","Diamond","8","St","027","2023-08-31T11:37:54.000","2023-08-31T14:24:26.000","2","6744","in-house","parcel_centroid","2023-09-01T23:55:00.000","Glen Park","B","otc alterations permit","2023-08-31T14:18:29.000","8","2023-08-31T00:00:00.000","94131","1677329211973","N","3000","2852","food/beverage hndlng","{""coordinates"":[-122.434241597,37.733803136],""type"":""Point""}","issued"
"","2023-08-31T08:21:35.000","202308315647","R-3","2023-09-02T04:14:29.000","replace bathroom finishes and fixtures in kind remove and replace gas furnace and gas tankless hot water heater in same location. remove fireplace no change to chimney or chimney enclosure all interior update electric outlets to be grounded.","Y","30000","Russian Hill","3","Pl","008C","2023-08-31T07:40:58.000","2023-08-31T08:21:35.000","0","0127","in-house","parcel_centroid","2023-09-01T23:55:00.000","Nob Hill","R-3","otc alterations permit","2023-08-31T08:19:01.000","8","2023-08-31T00:00:00.000","94133","1677263294834","N","25000","7","christmas tree lot","{""coordinates"":[-122.415266356,37.798199423],""type"":""Point""}","issued"
"office","2023-08-31T15:35:02.000","202308315756","B,M","2023-09-02T04:14:29.000","suite 1500: mep associated with ti bpa 202306069338","Y","0","Berry","6","St","005","2023-08-31T15:35:02.000","","2","3803","in-house","parcel_centroid","2023-09-01T23:55:00.000","Mission Bay","B,M","otc alterations permit","2023-09-01T15:39:42.000","8","2023-08-31T00:00:00.000","94158","1677379348598","N","80000","185","office","{""coordinates"":[-122.39179681,37.776327159],""type"":""Point""}","filed"
"apartments","2023-08-31T11:00:27.000","202308315697","R-2","2023-09-02T04:14:29.000","as built f/s plan of ref permit 202112144409. adding copper pipe and propress fittings as an underground option.","","0","20th","9","St","047","2023-08-31T11:00:27.000","","2","3610","in-house","parcel_centroid","2023-09-01T23:55:00.000","Mission","R-2","otc alterations permit","2023-08-31T12:24:47.000","8","2023-08-31T00:00:00.000","94110","1677316449227","N","1","3447","apartments","{""coordinates"":[-122.417736004,37.758486968],""type"":""Point""}","filed"
"office","2023-08-31T11:17:32.000","202308315674","B","2023-09-02T04:14:29.000","fire sprinklers: relocate 9 pendents, relocate 4 concealed pendents, and relocate 6 uprights on the 20/f. ref ti # 202308033602","Y","11800","New Montgomery","6","St","062","2023-08-31T09:35:06.000","2023-08-31T11:17:32.000","2","3707","in-house","parcel_centroid","2023-09-01T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-31T11:13:14.000","8","2023-08-31T00:00:00.000","94105","1677292164504","N","11780","33","office","{""coordinates"":[-122.40140603,37.788660144],""type"":""Point""}","issued"
"office","2023-08-31T13:11:22.000","202308315669","B","2023-09-02T04:14:29.000","existing fire sprinlker system, tenant improvements. relocate 165 pendents, 42 pendents,relocate 4 uprights sprinlkers","Y","132000","Market","6","St","017","2023-08-31T08:58:49.000","2023-08-31T13:11:22.000","2","3709","in-house","parcel_centroid","2023-09-01T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-31T13:09:43.000","8","2023-08-31T00:00:00.000","94105","1677287164580","N","132000","425","office","{""coordinates"":[-122.398125295,37.791121296],""type"":""Point""}","issued"
"2 family dwelling","2023-08-31T09:08:34.000","202308315662","R-3","2023-09-02T04:14:29.000","revision to permit #202305037025.  adding in kind stuco replacement in front and right side 6 x 16 ft and painting.","Y","15000","42nd","4","Av","034","2023-08-31T08:38:58.000","2023-08-31T09:08:34.000","0","1796","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-31T09:06:58.000","8","2023-08-31T00:00:00.000","94122","1677277378272","N","15000","1312","2 family dwelling","{""coordinates"":[-122.501566705,37.762236129],""type"":""Point""}","issued"
"food/beverage hndlng","2023-08-31T13:14:04.000","202308315710","A-2","2023-09-02T04:14:29.000","demo two section of pipe exposed below new ceiling, replace all (e) painted sprinkler head (31)","Y","18633","Steiner","2","St","022","2023-08-31T11:41:03.000","2023-08-31T13:14:04.000","2","0491","in-house","parcel_centroid","2023-09-01T23:55:00.000","Marina","A-2","otc alterations permit","2023-08-31T13:09:39.000","8","2023-08-31T00:00:00.000","94123","167733071794","N","2120","3352","food/beverage hndlng","{""coordinates"":[-122.437561787,37.800448628],""type"":""Point""}","issued"
"1 family dwelling","2023-08-31T15:16:33.000","202308315755","R-3","2023-09-02T04:14:29.000","revision to pa# 202207269321, remove exterior stucco cladding at the north end of bldg. north side of east & west facade, and full north facade. install new waterproofing membrane and stucco finish to match existing.","Y","25000","Seacliff","1","Av","016","2023-08-31T15:16:33.000","","2","1301","in-house","parcel_centroid","2023-09-01T23:55:00.000","Seacliff","R-3","otc alterations permit","2023-08-31T15:33:54.000","8","2023-08-31T00:00:00.000","94121","167737895718","N","25000","8","1 family dwelling","{""coordinates"":[-122.484728156,37.789162968],""type"":""Point""}","filed"
"manufacturing","2023-08-31T14:15:34.000","202308315745","B,F-2,A-3","2023-09-02T04:14:29.000","deferred interior stair permit for issued bpa 202101122525","Y","0","Brannan","6","St","004E","2023-08-31T14:15:34.000","","2","3780","in-house","parcel_centroid","2023-09-01T23:55:00.000","South of Market","B,F-2,A-3","otc alterations permit","2023-08-31T14:29:07.000","8","2023-08-31T00:00:00.000","94103","1677368167558","N","340000","828","office","{""coordinates"":[-122.404157805,37.772752486],""type"":""Point""}","filed"
"apartments","2023-08-31T11:45:29.000","202308315666","R-2","2023-09-02T04:14:29.000","unit a: replacement of 6 windows within (e) openings. not viible from street. with marvin wood aluminum clad or equivalent windows. windows are located at the rear.","Y","8200","Page","5","St","012","2023-08-31T08:47:41.000","2023-08-31T11:45:29.000","0","1222","in-house","parcel_centroid","2023-09-01T23:55:00.000","Haight Ashbury","R-2","otc alterations permit","2023-08-31T11:43:07.000","8","2023-08-31T00:00:00.000","94117","167728292885","N","4200","1456","apartments","{""coordinates"":[-122.444641087,37.771543331],""type"":""Point""}","issued"
"apartments","2023-08-31T11:40:51.000","202308315696","R-2","2023-09-02T04:14:29.000","reroofing","Y","13800","09th","1","Av","027","2023-08-31T10:58:32.000","2023-08-31T11:40:51.000","0","1536","in-house","parcel_centroid","2023-09-01T23:55:00.000","Inner Richmond","R-2","otc alterations permit","2023-08-31T11:32:43.000","8","2023-08-31T00:00:00.000","94118","1677314396819","N","13800","456","apartments","{""coordinates"":[-122.467089228,37.779809388],""type"":""Point""}","issued"
"office","2023-08-31T12:00:31.000","202308315717","B","2023-09-02T04:14:29.000","7/f: revision to pa# 202307252868, revised mens's restroom layout, removal of extra convenience urinal to reflect normal building standard layout. mep and fire/life safety under separate permit.","Y","1","California","3","St","001","2023-08-31T12:00:31.000","","2","0260","in-house","parcel_centroid","2023-09-01T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-31T13:57:40.000","8","2023-08-31T00:00:00.000","94104","1677337298601","N","1","425","office","{""coordinates"":[-122.401353281,37.792795755],""type"":""Point""}","filed"
"office","2023-08-31T10:20:53.000","202308315686","B","2023-09-02T04:14:29.000","4/f: addition of 2 fire sprinkler to 2 phone booths.","Y","3000","California","3","St","032","2023-08-31T10:20:53.000","","2","0258","in-house","parcel_centroid","2023-09-01T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-31T10:34:50.000","8","2023-08-31T00:00:00.000","94108","167730566051","N","3000","601","office","{""coordinates"":[-122.404685586,37.792359393],""type"":""Point""}","filed"
"2 family dwelling","2023-08-31T11:18:14.000","202308315684","R-3","2023-09-02T04:14:29.000","replace windows in kind in rear with fiberglass & repair front windows with wood. replace dryrot at rear. work in both units. 4079 and 4079a.","Y","20000","Cesar Chavez","8","St","029","2023-08-31T10:14:29.000","2023-08-31T11:18:14.000","0","6580","in-house","parcel_centroid","2023-09-01T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-08-31T11:17:19.000","8","2023-08-31T00:00:00.000","94131","1677302208091","N","20000","4079","2 family dwelling","{""coordinates"":[-122.430917106,37.747221435],""type"":""Point""}","issued"
"power plant","2023-08-31T08:16:47.000","202308315649","S-2,F-1","2023-09-02T04:14:29.000","fire only work to monitor the pre-action system in the spare parts building; additions are a 4-input/output modules and the replacement of fire alarm panel cards for an upgrade to it.","Y","2400","23rd","10","St","010","2023-08-31T07:45:43.000","2023-08-31T08:16:47.000","2","4232","in-house","parcel_centroid","2023-09-01T23:55:00.000","Potrero Hill","S-2,F-1","otc alterations permit","2023-08-31T08:14:20.000","8","2023-08-31T00:00:00.000","94107","1677265462517","N","2400","601","power plant","{""coordinates"":[-122.384530728,37.755030729],""type"":""Point""}","issued"
"2 family dwelling","2023-08-31T08:31:39.000","202308315653","R-3","2023-09-02T04:14:29.000","reroofing","Y","21880","09th","7","Av","051","2023-08-31T07:56:38.000","2023-08-31T08:31:39.000","0","1934","in-house","parcel_centroid","2023-09-01T23:55:00.000","Inner Sunset","R-3","otc alterations permit","2023-08-31T08:29:17.000","8","2023-08-31T00:00:00.000","94122","1677268496249","N","21880","1679","2 family dwelling","{""coordinates"":[-122.466147508,37.756989962],""type"":""Point""}","issued"
"1 family dwelling","2023-08-31T10:49:04.000","202308315693","R-3","2023-09-02T04:14:29.000","to compy with complaint # 202311980, remove toilet & shower in garage, remove portion of non load bearing wall in kitchen.","Y","0","47th","1","Av","062","2023-08-31T10:49:04.000","","2","1689","in-house","parcel_centroid","2023-09-01T23:55:00.000","Outer Richmond","R-3","otc alterations permit","2023-08-31T11:16:52.000","8","2023-08-31T00:00:00.000","94121","1677309491525","N","15000","806","1 family dwelling","{""coordinates"":[-122.507590229,37.773192927],""type"":""Point""}","filed"
"apartments","2023-08-31T13:15:32.000","202308315740","R-2","2023-09-02T04:14:29.000","limited demolition of interior partitions walls within a four unit apartment bldg. on 2nd and 3rd fl units, replacement of kitchen & bathrooms. addition of one bathroom per unit. provide new beams and posts to support (e) floor and roof framing where interior bearing walls are to be demo. voluntary","Y","0","Chestnut","3","St","012","2023-08-31T13:15:32.000","","2","0052","in-house","parcel_centroid","2023-09-01T23:55:00.000","North Beach","R-2","otc alterations permit","2023-08-31T14:19:39.000","8","2023-08-31T00:00:00.000","94133","1677360413224","N","150000","572","apartments","{""coordinates"":[-122.412847707,37.804089473],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T08:34:11.000","202308315699","R-3","2023-09-02T04:14:29.000","water damage stucco repair approx 500 sq ft outside of the house. no window or door replacement. finish stucco texture with match with the extg. affected stucco are on all sides of the  house including the front.","Y","6000","Monterey","7","Bl","028","2023-08-31T11:04:21.000","2023-09-01T08:34:11.000","0","3046","in-house","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T08:32:17.000","8","2023-08-31T00:00:00.000","94127","1677318150857","N","6000","1300","1 family dwelling","{""coordinates"":[-122.463128748,37.730944975],""type"":""Point""}","issued"
"retail sales","2023-08-31T11:52:55.000","202308315716","R-2,B,M","2023-09-02T04:14:29.000","install power door operator per information sheet da-04/05 and related exterior landing to provide a glush transtion with the elevated interior landing/floor.comply w/ abe 202209134226","Y","3500","Clement","1","St","045","2023-08-31T11:52:55.000","","2","1451","in-house","parcel_centroid","2023-09-01T23:55:00.000","Outer Richmond","R-2,B,M","otc alterations permit","2023-09-01T15:10:34.000","8","2023-08-31T00:00:00.000","94121","1677336100279","N","3500","1823","retail sales","{""coordinates"":[-122.478831684,37.782045377],""type"":""Point""}","filed"
"1 family dwelling","2023-08-31T08:44:57.000","202308315658","R-3","2023-09-02T04:14:29.000","complete kitchen remodel like fo like, no walls or layout change.","Y","15000","Sutter","2","St","006","2023-08-31T08:24:01.000","2023-08-31T08:44:57.000","0","0672","in-house","parcel_centroid","2023-09-01T23:55:00.000","Western Addition","R-3","otc alterations permit","2023-08-31T08:37:24.000","8","2023-08-31T00:00:00.000","94109","167727378430","N","15000","1458","1 family dwelling","{""coordinates"":[-122.424380156,37.787477613],""type"":""Point""}","issued"
"nite club","2023-08-31T12:29:43.000","202308315726","A-2,R-3","2023-09-02T04:14:29.000","installation of new 4"" fire line & connect to (e) building fire riser. backflow and connection to the building is by interior or fire sprinkler contractor.","","0","Castro","8","St","008","2023-08-31T12:29:43.000","","2","2647","in-house","parcel_centroid","2023-09-01T23:55:00.000","Castro/Upper Market","A-2,R-3","otc alterations permit","2023-08-31T13:35:10.000","8","2023-08-31T00:00:00.000","94114","1677347382329","N","30000","456","nite club","{""coordinates"":[-122.435431509,37.761602439],""type"":""Point""}","filed"
"1 family dwelling","2023-09-01T09:30:11.000","202308315759","R-3","2023-09-02T04:14:29.000","replacement 3 windows back of house, 2 at front and 1 at side. match (e) material. same operation. total 6 windows","Y","3000","Collins","2","St","029","2023-08-31T15:46:11.000","2023-09-01T09:30:11.000","0","1069","in-house","parcel_centroid","2023-09-01T23:55:00.000","Presidio Heights","R-3","otc alterations permit","2023-09-01T09:22:01.000","8","2023-08-31T00:00:00.000","94118","167738288899","N","2700","122","1 family dwelling","{""coordinates"":[-122.450091599,37.783739213],""type"":""Point""}","issued"
"2 family dwelling","2023-08-31T09:10:23.000","202308315655","R-3","2023-09-02T04:14:29.000","reroofing","Y","48000","Fair Oaks","8","St","049","2023-08-31T08:07:10.000","2023-08-31T09:10:23.000","0","3618","in-house","parcel_centroid","2023-09-01T23:55:00.000","Mission","R-3","otc alterations permit","2023-08-31T09:04:18.000","8","2023-08-31T00:00:00.000","94110","1677270162446","N","48000","68","2 family dwelling","{""coordinates"":[-122.424646586,37.755625859],""type"":""Point""}","issued"
"1 family dwelling","2023-08-31T11:10:18.000","202308315701","R-3","2023-09-02T04:14:29.000","rev to pa# 2019-1007-3775; architectural addendum to rear of kitchen, deck new window and doors,","Y","0","Stanyan","8","St","037","2023-08-31T11:10:18.000","","2","1289","in-house","parcel_centroid","2023-09-01T23:55:00.000","Inner Sunset","R-3","otc alterations permit","2023-08-31T13:11:05.000","8","2023-08-31T00:00:00.000","94117","167732195530","N","1","1290","1 family dwelling","{""coordinates"":[-122.451302381,37.759779057],""type"":""Point""}","filed"
"2 family dwelling","2023-08-31T09:08:34.000","202308315662","R-3","2023-09-02T04:14:29.000","revision to permit #202305037025.  adding in kind stuco replacement in front and right side 6 x 16 ft and painting.","","15000","42nd","4","Av","034","2023-08-31T08:38:58.000","2023-08-31T09:08:34.000","0","1796","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-31T09:06:58.000","8","2023-08-31T00:00:00.000","94122","1677278375453","N","15000","1314","2 family dwelling","{""coordinates"":[-122.501566705,37.762236129],""type"":""Point""}","issued"
"health studios & gym","2023-08-31T13:10:58.000","202308315738","A-4,B","2023-09-02T04:14:29.000","deferred submittal shop drawings olson steel handrails for the interior stairs and retaining wall. ref 202105210845","Y","0","Golden Gate","1","Av","003","2023-08-31T13:10:58.000","","2","1145","in-house","parcel_centroid","2023-09-01T23:55:00.000","Lone Mountain/USF","A-4,B","otc alterations permit","2023-08-31T13:12:24.000","8","2023-08-31T00:00:00.000","94117","1677359471969","N","1","2335","health studios & gym","{""coordinates"":[-122.450139126,37.776445632],""type"":""Point""}","filed"
"1 family dwelling","2023-08-31T10:32:36.000","202308315675","R-3","2023-09-02T04:14:29.000","reroofing","Y","10000","08th","7","Av","035","2023-08-31T09:37:54.000","2023-08-31T10:32:36.000","0","2817","in-house","parcel_centroid","2023-09-01T23:55:00.000","Inner Sunset","R-3","otc alterations permit","2023-08-31T10:28:51.000","8","2023-08-31T00:00:00.000","94116","1677293144907","N","10000","1980","1 family dwelling","{""coordinates"":[-122.464101845,37.751376513],""type"":""Point""}","issued"
"food/beverage hndlng","2023-08-31T14:22:02.000","202308315688","R-1,M,A-2","2023-09-02T04:14:29.000","bldg e, e211 restaurant:interior demo-demo walls and ceiling. no residential unit will be converted or demolished.","Y","2000","North Point","2","St","052","2023-08-31T10:41:43.000","2023-08-31T14:22:02.000","2","0452","in-house","parcel_centroid","2023-09-01T23:55:00.000","Russian Hill","R-1,M,A-2","otc alterations permit","2023-08-31T14:15:49.000","8","2023-08-31T00:00:00.000","94109","1677367501810","N","1000","900","food/beverage hndlng","{""coordinates"":[-122.422925182,37.805857924],""type"":""Point""}","issued"
"1 family dwelling","2023-08-31T11:30:41.000","202308315707","R-3","2023-09-02T04:14:29.000","remodel exiting laundry area in open hallway to creat a new full bath and enclosed laundry closet @ 1st flr.","Y","45000","Hill","8","St","101","2023-08-31T11:30:41.000","","2","3620","in-house","parcel_centroid","2023-09-01T23:55:00.000","Noe Valley","R-3","otc alterations permit","2023-08-31T12:53:19.000","8","2023-08-31T00:00:00.000","94114","1677326506452","N","45000","366","1 family dwelling","{""coordinates"":[-122.429168545,37.75585297],""type"":""Point""}","filed"
"apartments","2023-08-31T14:53:10.000","202308315734","R-2","2023-09-02T04:14:29.000","reroofing: resheet wit 1/2 plywood and rerook","Y","9000","23rd","1","Av","012","2023-08-31T12:51:34.000","2023-08-31T14:53:10.000","0","1383","in-house","parcel_centroid","2023-09-01T23:55:00.000","Outer Richmond","R-2","otc alterations permit","2023-08-31T14:49:24.000","8","2023-08-31T00:00:00.000","94121","167735497766","N","9000","163","apartments","{""coordinates"":[-122.483248485,37.784656309],""type"":""Point""}","issued"
"retail sales","2023-08-31T11:22:51.000","202308315705","M,B","2023-09-02T04:14:29.000","revision to 202305097444. due to reduction in scope, fire alarm and fire sprinkler modification not required. cover sheet note updated per inspector in-field instruction.","Y","1","Geary","3","St","008","2023-08-31T11:22:51.000","","2","0309","in-house","parcel_centroid","2023-09-01T23:55:00.000","Financial District/South Beach","M,B","otc alterations permit","2023-08-31T12:44:03.000","8","2023-08-31T00:00:00.000","94108","167732469277","N","1","152","retail sales","{""coordinates"":[-122.405939439,37.787912368],""type"":""Point""}","filed"
"1 family dwelling","2023-08-31T13:56:12.000","202308315741","R-3","2023-09-02T04:14:29.000","replace existing bathroom, no structural changes, repair existing skylight. gut bathroom to studs. replace plubing and electrical with seperate permits. insulate sheetrock, new fixtures and tilework.","Y","25000","34th","4","Av","012","2023-08-31T13:35:15.000","2023-08-31T13:56:12.000","0","2315","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-3","otc alterations permit","2023-08-31T13:54:49.000","8","2023-08-31T00:00:00.000","94116","1677363130738","N","25000","2283","1 family dwelling","{""coordinates"":[-122.492165347,37.744548249],""type"":""Point""}","issued"
"1 family dwelling","2023-08-31T15:42:41.000","202308315758","R-3","2023-09-02T04:14:29.000","revision to 202307061583. repair deck in same size & same location.","Y","0","17th","7","Av","019","2023-08-31T15:42:41.000","","2","2417","in-house","parcel_centroid","2023-09-01T23:55:00.000","West of Twin Peaks","R-3","otc alterations permit","2023-09-01T14:47:03.000","8","2023-08-31T00:00:00.000","94116","1677381135233","N","10000","2538","1 family dwelling","{""coordinates"":[-122.473041463,37.740536652],""type"":""Point""}","filed"
"apartments","2023-09-01T09:29:47.000","202308315757","R-2","2023-09-02T04:14:29.000","3 window replacement side building not facing the street","Y","1500","Palm","2","Av","026","2023-08-31T15:41:57.000","2023-09-01T09:29:47.000","0","1039","in-house","parcel_centroid","2023-09-01T23:55:00.000","Presidio Heights","R-2","otc alterations permit","2023-09-01T09:25:48.000","8","2023-08-31T00:00:00.000","94118","1677380413052","N","1500","80","apartments","{""coordinates"":[-122.457605185,37.784325521],""type"":""Point""}","issued"
"1 family dwelling","2023-08-31T10:09:19.000","202308315681","R-3","2023-09-02T04:14:29.000","replace (3) street facing windows and (6) street vsibile windows at rear (e) aluminum (n) wood clad: <.30 max","Y","0","Lamartine","11","St","006","2023-08-31T10:09:19.000","","0","6784","in-house","parcel_centroid","2023-09-01T23:55:00.000","Outer Mission","R-3","otc alterations permit","2023-08-31T13:01:05.000","8","2023-08-31T00:00:00.000","94112","1677299213093","N","66717","72","1 family dwelling","{""coordinates"":[-122.433498186,37.730986623],""type"":""Point""}","filed"
"1 family dwelling","2023-08-31T14:37:06.000","202308315747","R-3","2023-09-02T04:14:29.000","convert 233 sf of (e) garage to living space. convert 22 sf of (e) porch to living space. renovate 173 sf of (e) living space. replace 3 windows at (e) lower lv rear wall. add new bathroom at lower lv. new heat pump hvac sys. new tankless hot water heater.","Y","","42nd","4","Av","007F","2023-08-31T14:37:06.000","","1","2175","in-house","parcel_centroid","2023-09-01T23:55:00.000","Sunset/Parkside","R-3","additions alterations or repairs","2023-08-31T14:45:47.000","3","2023-08-31T00:00:00.000","94116","1677370128683","N","140000","2187","1 family dwelling","{""coordinates"":[-122.500859443,37.745964433],""type"":""Point""}","filed"
"office","2023-08-31T12:52:52.000","202308315661","A-3,B,A-2,F-1","2023-09-02T04:14:29.000","existing fire sprinkler system ti 93 pendents and 25 uprights","Y","74000","Battery","3","St","001","2023-08-31T08:33:56.000","2023-08-31T12:52:52.000","2","0173","in-house","parcel_centroid","2023-09-01T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-31T12:51:59.000","8","2023-08-31T00:00:00.000","94111","167727661548","N","74000","600","office","{""coordinates"":[-122.400318419,37.797497507],""type"":""Point""}","issued"
"apartments","2023-08-31T11:24:34.000","202308315706","R-2","2023-09-02T04:14:29.000","replace (6) windows at rear non street visible. (e) wood (n) wood comp. no size change. less than .30 max.","Y","0","Shrader","8","St","005","2023-08-31T11:24:34.000","","0","1262","in-house","parcel_centroid","2023-09-01T23:55:00.000","Haight Ashbury","R-2","otc alterations permit","2023-08-31T11:26:02.000","8","2023-08-31T00:00:00.000","94117","1677325241246","N","20705","823","apartments","{""coordinates"":[-122.451748174,37.76707765],""type"":""Point""}","filed"
"health studios & gym","2023-08-31T12:59:00.000","202308315736","A-4,B","2023-09-02T04:14:29.000","deferred submittal-shop drawings-draper inc. gym equipment. install 4 ceiling-suspended, side-folding basketball backstops model tbs-26-b. ref pa 202105210845.","Y","0","Golden Gate","1","Av","003","2023-08-31T12:59:00.000","","2","1145","in-house","parcel_centroid","2023-09-01T23:55:00.000","Lone Mountain/USF","A-4,B","otc alterations permit","2023-08-31T13:02:43.000","8","2023-08-31T00:00:00.000","94117","1677357471969","N","1","2335","health studios & gym","{""coordinates"":[-122.450139126,37.776445632],""type"":""Point""}","filed"
"apartments","2023-08-31T08:31:10.000","202308315660","R-2","2023-09-02T04:14:29.000","remove and replace stucco at rear facade of unit 351,353,355, 361, 365. replace dry rotted structural framing in kind.","Y","0","Geneva","11","Av","136","2023-08-31T08:31:10.000","","0","6423","in-house","parcel_centroid","2023-09-01T23:55:00.000","Excelsior","R-2","otc alterations permit","2023-08-31T08:54:46.000","8","2023-08-31T00:00:00.000","94134","1677274255292","N","45000","1750","apartments","{""coordinates"":[-122.426264528,37.710229793],""type"":""Point""}","filed"
"office","2023-08-31T13:18:11.000","202308315667","B","2023-09-02T04:14:29.000","existing fire sprinkler system. ti reloecate 8 and remove 3 sprinklers","Y","7000","Montgomery","3","St","028","2023-08-31T08:51:39.000","2023-08-31T13:18:11.000","2","0227","in-house","parcel_centroid","2023-09-01T23:55:00.000","Chinatown","B","otc alterations permit","2023-08-31T13:17:10.000","8","2023-08-31T00:00:00.000","94111","167728463305","N","7000","505","office","{""coordinates"":[-122.403551552,37.794024011],""type"":""Point""}","issued"
"1 family dwelling","2023-08-31T12:45:11.000","202308315730","R-3","2023-09-02T04:14:29.000","reslope roof. install overflow drain.","Y","0","Frederick","8","St","090","2023-08-31T12:45:11.000","","0","1269","in-house","parcel_centroid","2023-09-01T23:55:00.000","Haight Ashbury","R-3","otc alterations permit","2023-08-31T15:01:39.000","8","2023-08-31T00:00:00.000","94117","167735194711","N","80000","259","1 family dwelling","{""coordinates"":[-122.447376126,37.766884202],""type"":""Point""}","filed"
"apartments","2023-08-31T10:52:39.000","202308315694","R-2","2023-09-02T04:14:29.000","installation of 2"" dedicated fire service per nfpa 24. ref # 202207229128.","Y","0","20th","8","St","014","2023-08-31T10:52:39.000","","2","2698","in-house","parcel_centroid","2023-09-01T23:55:00.000","Castro/Upper Market","R-3","otc alterations permit","2023-08-31T11:36:47.000","8","2023-08-31T00:00:00.000","94114","1677328388448","N","7000","4416","2 family dwelling","{""coordinates"":[-122.437235055,37.75777604],""type"":""Point""}","filed"
"2 family dwelling","2023-08-31T12:07:20.000","202308315721","R-3","2023-09-02T04:14:29.000","replace (5) windows at rear non street visible: (e) vinyl (n) wood comp: no size change <.30 max","Y","0","Fair Oaks","8","St","045","2023-08-31T12:07:20.000","","0","6511","in-house","parcel_centroid","2023-09-01T23:55:00.000","Mission","R-3","otc alterations permit","2023-08-31T12:08:49.000","8","2023-08-31T00:00:00.000","94110","1677341431953","N","18532","318","2 family dwelling","{""coordinates"":[-122.424244196,37.751490862],""type"":""Point""}","filed"
"office","2023-08-31T08:56:40.000","202308315668","B","2023-09-02T04:14:29.000","rev to pa# 202308144301; to add restrooms and dring fountain to scope of work","Y","0","Harrison","6","St","005","2023-08-31T08:56:40.000","","2","3744","in-house","parcel_centroid","2023-09-01T23:55:00.000","Financial District/South Beach","B","otc alterations permit","2023-08-31T09:29:28.000","8","2023-08-31T00:00:00.000","94105","1677286249323","N","75000","2","office","{""coordinates"":[-122.389757399,37.789803297],""type"":""Point""}","filed"
"1 family dwelling","2023-08-31T09:50:36.000","202308315677","R-3","2023-09-02T04:14:29.000","to comply with nov# 202307432, legalize rear deck.","Y","0","25th","1","Av","024","2023-08-31T09:50:36.000","","2","1520","in-house","parcel_centroid","2023-09-01T23:55:00.000","Outer Richmond","R-3","otc alterations permit","2023-08-31T10:45:38.000","8","2023-08-31T00:00:00.000","94121","1677295102608","N","5000","558","1 family dwelling","{""coordinates"":[-122.484322576,37.778942774],""type"":""Point""}","filed"
"workshop commercial","2023-08-31T11:57:00.000","202308315673","A-3,R-2,E","2023-09-02T04:14:29.000","ti ref 202208291528.fire sprinkler ti: art and wellness center. relocate 11 sprinklers. add 5 sprinklers. change 24 uprights to pendents. total: 40 sprinklers. no underground work.","Y","23000","Florida","9","St","240","2023-08-31T09:23:53.000","2023-08-31T11:57:00.000","2","4022","in-house","parcel_centroid","2023-09-01T23:55:00.000","Mission","R-2","otc alterations permit","2023-08-31T11:52:46.000","8","2023-08-31T00:00:00.000","94110","1677291520460","N","23000","683","workshop commercial","{""coordinates"":[-122.410521272,37.760882131],""type"":""Point""}","issued"
